round	variant	phase	occurrence	elapsed_ms
1	baseline	Bulk loaded 5000000 items	1	14032
1	baseline	Wrote 1000 individual items	1	44
1	baseline	Wrote 100 batches of 1000 items	1	1544
1	baseline	Wrote 50000 individual items	1	3435
1	baseline	len()	1	0
1	baseline	Random read 1000000 items	1	1698
1	baseline	Random read 1000000 items	2	1712
1	baseline	Random range read 500000 x 10 elements	1	1713
1	baseline	Random range read 500000 x 10 elements	2	1762
1	baseline	Random read (4 threads) 5151000 items	1	2245
1	baseline	Random read (8 threads) 5151000 items	1	1404
1	baseline	Random read (16 threads) 5151000 items	1	1329
1	baseline	Random read (32 threads) 5151000 items	1	1166
1	baseline	Removed 2575500 items	1	9939
1	baseline	Compacted	1	3779
1	optimized	Bulk loaded 5000000 items	1	14334
1	optimized	Wrote 1000 individual items	1	45
1	optimized	Wrote 100 batches of 1000 items	1	1636
1	optimized	Wrote 50000 individual items	1	3472
1	optimized	len()	1	0
1	optimized	Random read 1000000 items	1	1712
1	optimized	Random read 1000000 items	2	1667
1	optimized	Random range read 500000 x 10 elements	1	1728
1	optimized	Random range read 500000 x 10 elements	2	1669
1	optimized	Random read (4 threads) 5151000 items	1	2094
1	optimized	Random read (8 threads) 5151000 items	1	1160
1	optimized	Random read (16 threads) 5151000 items	1	1187
1	optimized	Random read (32 threads) 5151000 items	1	1177
1	optimized	Removed 2575500 items	1	9807
1	optimized	Compacted	1	3768
2	optimized	Bulk loaded 5000000 items	1	14672
2	optimized	Wrote 1000 individual items	1	45
2	optimized	Wrote 100 batches of 1000 items	1	1544
2	optimized	Wrote 50000 individual items	1	3471
2	optimized	len()	1	0
2	optimized	Random read 1000000 items	1	1601
2	optimized	Random read 1000000 items	2	1621
2	optimized	Random range read 500000 x 10 elements	1	1662
2	optimized	Random range read 500000 x 10 elements	2	1731
2	optimized	Random read (4 threads) 5151000 items	1	2293
2	optimized	Random read (8 threads) 5151000 items	1	1208
2	optimized	Random read (16 threads) 5151000 items	1	1192
2	optimized	Random read (32 threads) 5151000 items	1	1183
2	optimized	Removed 2575500 items	1	10160
2	optimized	Compacted	1	3763
2	baseline	Bulk loaded 5000000 items	1	14118
2	baseline	Wrote 1000 individual items	1	44
2	baseline	Wrote 100 batches of 1000 items	1	1569
2	baseline	Wrote 50000 individual items	1	3428
2	baseline	len()	1	0
2	baseline	Random read 1000000 items	1	1732
2	baseline	Random read 1000000 items	2	1747
2	baseline	Random range read 500000 x 10 elements	1	1740
2	baseline	Random range read 500000 x 10 elements	2	1722
2	baseline	Random read (4 threads) 5151000 items	1	2158
2	baseline	Random read (8 threads) 5151000 items	1	1162
2	baseline	Random read (16 threads) 5151000 items	1	1216
2	baseline	Random read (32 threads) 5151000 items	1	1153
2	baseline	Removed 2575500 items	1	9648
2	baseline	Compacted	1	3660
3	baseline	Bulk loaded 5000000 items	1	13852
3	baseline	Wrote 1000 individual items	1	44
3	baseline	Wrote 100 batches of 1000 items	1	1506
3	baseline	Wrote 50000 individual items	1	3375
3	baseline	len()	1	0
3	baseline	Random read 1000000 items	1	1556
3	baseline	Random read 1000000 items	2	1548
3	baseline	Random range read 500000 x 10 elements	1	1573
3	baseline	Random range read 500000 x 10 elements	2	1596
3	baseline	Random read (4 threads) 5151000 items	1	2011
3	baseline	Random read (8 threads) 5151000 items	1	1149
3	baseline	Random read (16 threads) 5151000 items	1	1178
3	baseline	Random read (32 threads) 5151000 items	1	1154
3	baseline	Removed 2575500 items	1	9510
3	baseline	Compacted	1	3857
3	optimized	Bulk loaded 5000000 items	1	13925
3	optimized	Wrote 1000 individual items	1	44
3	optimized	Wrote 100 batches of 1000 items	1	1535
3	optimized	Wrote 50000 individual items	1	3564
3	optimized	len()	1	0
3	optimized	Random read 1000000 items	1	1632
3	optimized	Random read 1000000 items	2	1702
3	optimized	Random range read 500000 x 10 elements	1	1679
3	optimized	Random range read 500000 x 10 elements	2	1799
3	optimized	Random read (4 threads) 5151000 items	1	2017
3	optimized	Random read (8 threads) 5151000 items	1	1208
3	optimized	Random read (16 threads) 5151000 items	1	1186
3	optimized	Random read (32 threads) 5151000 items	1	1164
3	optimized	Removed 2575500 items	1	10138
3	optimized	Compacted	1	4299
4	optimized	Bulk loaded 5000000 items	1	15078
4	optimized	Wrote 1000 individual items	1	46
4	optimized	Wrote 100 batches of 1000 items	1	1748
4	optimized	Wrote 50000 individual items	1	3739
4	optimized	len()	1	0
