round	variant	phase	occurrence	elapsed_ms
1	baseline	Bulk loaded 5000000 items	1	14597
1	baseline	Wrote 1000 individual items	1	44
1	baseline	Wrote 100 batches of 1000 items	1	1531
1	baseline	Wrote 50000 individual items	1	3425
1	baseline	len()	1	0
1	baseline	Random read 1000000 items	1	1612
1	baseline	Random read 1000000 items	2	1587
1	baseline	Random range read 500000 x 10 elements	1	1564
1	baseline	Random range read 500000 x 10 elements	2	1553
1	baseline	Random read (4 threads) 5151000 items	1	2020
1	baseline	Random read (8 threads) 5151000 items	1	1165
1	baseline	Random read (16 threads) 5151000 items	1	1399
1	baseline	Random read (32 threads) 5151000 items	1	1145
1	baseline	Removed 2575500 items	1	9720
1	baseline	Compacted	1	3693
1	optimized	Bulk loaded 5000000 items	1	13698
1	optimized	Wrote 1000 individual items	1	44
1	optimized	Wrote 100 batches of 1000 items	1	1481
1	optimized	Wrote 50000 individual items	1	3366
1	optimized	len()	1	0
1	optimized	Random read 1000000 items	1	1603
1	optimized	Random read 1000000 items	2	1549
1	optimized	Random range read 500000 x 10 elements	1	1586
1	optimized	Random range read 500000 x 10 elements	2	1581
1	optimized	Random read (4 threads) 5151000 items	1	2006
1	optimized	Random read (8 threads) 5151000 items	1	1165
1	optimized	Random read (16 threads) 5151000 items	1	1250
1	optimized	Random read (32 threads) 5151000 items	1	1147
1	optimized	Removed 2575500 items	1	9873
1	optimized	Compacted	1	3629
2	optimized	Bulk loaded 5000000 items	1	13596
2	optimized	Wrote 1000 individual items	1	44
2	optimized	Wrote 100 batches of 1000 items	1	1483
2	optimized	Wrote 50000 individual items	1	3354
2	optimized	len()	1	0
2	optimized	Random read 1000000 items	1	1553
2	optimized	Random read 1000000 items	2	1543
2	optimized	Random range read 500000 x 10 elements	1	1604
2	optimized	Random range read 500000 x 10 elements	2	1558
2	optimized	Random read (4 threads) 5151000 items	1	2033
2	optimized	Random read (8 threads) 5151000 items	1	1185
2	optimized	Random read (16 threads) 5151000 items	1	1189
2	optimized	Random read (32 threads) 5151000 items	1	1159
2	optimized	Removed 2575500 items	1	9726
2	optimized	Compacted	1	3720
2	baseline	Bulk loaded 5000000 items	1	14186
2	baseline	Wrote 1000 individual items	1	44
2	baseline	Wrote 100 batches of 1000 items	1	1508
2	baseline	Wrote 50000 individual items	1	3450
2	baseline	len()	1	0
2	baseline	Random read 1000000 items	1	1658
2	baseline	Random read 1000000 items	2	1509
2	baseline	Random range read 500000 x 10 elements	1	1572
2	baseline	Random range read 500000 x 10 elements	2	1589
2	baseline	Random read (4 threads) 5151000 items	1	2046
2	baseline	Random read (8 threads) 5151000 items	1	1169
2	baseline	Random read (16 threads) 5151000 items	1	1189
2	baseline	Random read (32 threads) 5151000 items	1	1159
2	baseline	Removed 2575500 items	1	10030
2	baseline	Compacted	1	3694
