round	variant	phase	occurrence	elapsed_ms
1	baseline	Bulk loaded 5000000 items	1	14504
1	baseline	Wrote 1000 individual items	1	45
1	baseline	Wrote 100 batches of 1000 items	1	1583
1	baseline	Wrote 50000 individual items	1	3456
1	baseline	len()	1	0
1	baseline	Random read 1000000 items	1	1663
1	baseline	Random read 1000000 items	2	1594
1	baseline	Random range read 500000 x 10 elements	1	1676
1	baseline	Random range read 500000 x 10 elements	2	1655
1	baseline	Random read (4 threads) 5151000 items	1	2119
1	baseline	Random read (8 threads) 5151000 items	1	1230
1	baseline	Random read (16 threads) 5151000 items	1	1255
1	baseline	Random read (32 threads) 5151000 items	1	1182
1	baseline	Removed 2575500 items	1	9530
1	baseline	Compacted	1	3667
1	optimized	Bulk loaded 5000000 items	1	13847
1	optimized	Wrote 1000 individual items	1	44
1	optimized	Wrote 100 batches of 1000 items	1	1513
1	optimized	Wrote 50000 individual items	1	3373
1	optimized	len()	1	0
1	optimized	Random read 1000000 items	1	1582
1	optimized	Random read 1000000 items	2	1523
1	optimized	Random range read 500000 x 10 elements	1	1627
1	optimized	Random range read 500000 x 10 elements	2	1556
1	optimized	Random read (4 threads) 5151000 items	1	2003
1	optimized	Random read (8 threads) 5151000 items	1	1152
1	optimized	Random read (16 threads) 5151000 items	1	1188
1	optimized	Random read (32 threads) 5151000 items	1	1157
1	optimized	Removed 2575500 items	1	9574
1	optimized	Compacted	1	3664
2	optimized	Bulk loaded 5000000 items	1	13687
2	optimized	Wrote 1000 individual items	1	45
2	optimized	Wrote 100 batches of 1000 items	1	1508
2	optimized	Wrote 50000 individual items	1	3421
2	optimized	len()	1	0
2	optimized	Random read 1000000 items	1	1523
2	optimized	Random read 1000000 items	2	1588
2	optimized	Random range read 500000 x 10 elements	1	1681
2	optimized	Random range read 500000 x 10 elements	2	1730
2	optimized	Random read (4 threads) 5151000 items	1	2189
2	optimized	Random read (8 threads) 5151000 items	1	1156
2	optimized	Random read (16 threads) 5151000 items	1	1141
2	optimized	Random read (32 threads) 5151000 items	1	1145
2	optimized	Removed 2575500 items	1	9671
2	optimized	Compacted	1	3626
2	baseline	Bulk loaded 5000000 items	1	13869
2	baseline	Wrote 1000 individual items	1	45
2	baseline	Wrote 100 batches of 1000 items	1	1523
2	baseline	Wrote 50000 individual items	1	3477
2	baseline	len()	1	0
2	baseline	Random read 1000000 items	1	1544
2	baseline	Random read 1000000 items	2	1561
2	baseline	Random range read 500000 x 10 elements	1	1593
2	baseline	Random range read 500000 x 10 elements	2	1590
2	baseline	Random read (4 threads) 5151000 items	1	2024
2	baseline	Random read (8 threads) 5151000 items	1	1141
2	baseline	Random read (16 threads) 5151000 items	1	1172
2	baseline	Random read (32 threads) 5151000 items	1	1147
2	baseline	Removed 2575500 items	1	9689
2	baseline	Compacted	1	3704
3	baseline	Bulk loaded 5000000 items	1	13764
3	baseline	Wrote 1000 individual items	1	44
3	baseline	Wrote 100 batches of 1000 items	1	1510
3	baseline	Wrote 50000 individual items	1	3417
3	baseline	len()	1	0
3	baseline	Random read 1000000 items	1	1534
3	baseline	Random read 1000000 items	2	1505
3	baseline	Random range read 500000 x 10 elements	1	1558
3	baseline	Random range read 500000 x 10 elements	2	1573
3	baseline	Random read (4 threads) 5151000 items	1	2055
3	baseline	Random read (8 threads) 5151000 items	1	1170
3	baseline	Random read (16 threads) 5151000 items	1	1212
3	baseline	Random read (32 threads) 5151000 items	1	1149
3	baseline	Removed 2575500 items	1	9638
3	baseline	Compacted	1	3663
3	optimized	Bulk loaded 5000000 items	1	13879
3	optimized	Wrote 1000 individual items	1	44
3	optimized	Wrote 100 batches of 1000 items	1	1543
3	optimized	Wrote 50000 individual items	1	3387
3	optimized	len()	1	0
3	optimized	Random read 1000000 items	1	1506
3	optimized	Random read 1000000 items	2	1494
3	optimized	Random range read 500000 x 10 elements	1	1555
3	optimized	Random range read 500000 x 10 elements	2	1549
3	optimized	Random read (4 threads) 5151000 items	1	2019
3	optimized	Random read (8 threads) 5151000 items	1	1186
3	optimized	Random read (16 threads) 5151000 items	1	1374
3	optimized	Random read (32 threads) 5151000 items	1	1334
3	optimized	Removed 2575500 items	1	9688
3	optimized	Compacted	1	3633
4	optimized	Bulk loaded 5000000 items	1	13554
4	optimized	Wrote 1000 individual items	1	45
4	optimized	Wrote 100 batches of 1000 items	1	1491
4	optimized	Wrote 50000 individual items	1	3481
4	optimized	len()	1	0
4	optimized	Random read 1000000 items	1	1523
4	optimized	Random read 1000000 items	2	1606
4	optimized	Random range read 500000 x 10 elements	1	1651
4	optimized	Random range read 500000 x 10 elements	2	1706
4	optimized	Random read (4 threads) 5151000 items	1	2147
4	optimized	Random read (8 threads) 5151000 items	1	1217
4	optimized	Random read (16 threads) 5151000 items	1	1236
4	optimized	Random read (32 threads) 5151000 items	1	1416
4	optimized	Removed 2575500 items	1	10400
4	optimized	Compacted	1	3680
4	baseline	Bulk loaded 5000000 items	1	14043
4	baseline	Wrote 1000 individual items	1	45
4	baseline	Wrote 100 batches of 1000 items	1	1537
4	baseline	Wrote 50000 individual items	1	3405
4	baseline	len()	1	0
4	baseline	Random read 1000000 items	1	1550
4	baseline	Random read 1000000 items	2	1541
4	baseline	Random range read 500000 x 10 elements	1	1652
4	baseline	Random range read 500000 x 10 elements	2	1652
4	baseline	Random read (4 threads) 5151000 items	1	2225
4	baseline	Random read (8 threads) 5151000 items	1	1218
4	baseline	Random read (16 threads) 5151000 items	1	1222
4	baseline	Random read (32 threads) 5151000 items	1	1426
4	baseline	Removed 2575500 items	1	10841
4	baseline	Compacted	1	3907
5	baseline	Bulk loaded 5000000 items	1	15031
5	baseline	Wrote 1000 individual items	1	46
5	baseline	Wrote 100 batches of 1000 items	1	1544
5	baseline	Wrote 50000 individual items	1	3481
5	baseline	len()	1	0
5	baseline	Random read 1000000 items	1	1643
5	baseline	Random read 1000000 items	2	1622
5	baseline	Random range read 500000 x 10 elements	1	2017
5	baseline	Random range read 500000 x 10 elements	2	1898
5	baseline	Random read (4 threads) 5151000 items	1	2252
5	baseline	Random read (8 threads) 5151000 items	1	1544
5	baseline	Random read (16 threads) 5151000 items	1	1340
5	baseline	Random read (32 threads) 5151000 items	1	1514
5	baseline	Removed 2575500 items	1	9746
5	baseline	Compacted	1	3878
5	optimized	Bulk loaded 5000000 items	1	14483
5	optimized	Wrote 1000 individual items	1	46
5	optimized	Wrote 100 batches of 1000 items	1	1701
5	optimized	Wrote 50000 individual items	1	3674
5	optimized	len()	1	0
5	optimized	Random read 1000000 items	1	1984
5	optimized	Random read 1000000 items	2	1815
5	optimized	Random range read 500000 x 10 elements	1	1720
5	optimized	Random range read 500000 x 10 elements	2	1755
5	optimized	Random read (4 threads) 5151000 items	1	2177
5	optimized	Random read (8 threads) 5151000 items	1	1356
5	optimized	Random read (16 threads) 5151000 items	1	1172
5	optimized	Random read (32 threads) 5151000 items	1	1160
5	optimized	Removed 2575500 items	1	11995
5	optimized	Compacted	1	5432
6	optimized	Bulk loaded 5000000 items	1	19957
6	optimized	Wrote 1000 individual items	1	49
6	optimized	Wrote 100 batches of 1000 items	1	2024
6	optimized	Wrote 50000 individual items	1	4485
6	optimized	len()	1	0
6	optimized	Random read 1000000 items	1	1862
6	optimized	Random read 1000000 items	2	1868
6	optimized	Random range read 500000 x 10 elements	1	1873
6	optimized	Random range read 500000 x 10 elements	2	1693
6	optimized	Random read (4 threads) 5151000 items	1	2185
6	optimized	Random read (8 threads) 5151000 items	1	1227
6	optimized	Random read (16 threads) 5151000 items	1	1240
6	optimized	Random read (32 threads) 5151000 items	1	2494
6	optimized	Removed 2575500 items	1	12661
6	optimized	Compacted	1	5184
6	baseline	Bulk loaded 5000000 items	1	17364
6	baseline	Wrote 1000 individual items	1	45
6	baseline	Wrote 100 batches of 1000 items	1	1603
6	baseline	Wrote 50000 individual items	1	3442
6	baseline	len()	1	0
6	baseline	Random read 1000000 items	1	1792
6	baseline	Random read 1000000 items	2	1835
6	baseline	Random range read 500000 x 10 elements	1	1724
6	baseline	Random range read 500000 x 10 elements	2	1682
6	baseline	Random read (4 threads) 5151000 items	1	2147
6	baseline	Random read (8 threads) 5151000 items	1	1222
6	baseline	Random read (16 threads) 5151000 items	1	1305
6	baseline	Random read (32 threads) 5151000 items	1	1262
6	baseline	Removed 2575500 items	1	10736
6	baseline	Compacted	1	3898
7	baseline	Bulk loaded 5000000 items	1	14415
7	baseline	Wrote 1000 individual items	1	45
7	baseline	Wrote 100 batches of 1000 items	1	1703
7	baseline	Wrote 50000 individual items	1	3494
7	baseline	len()	1	0
7	baseline	Random read 1000000 items	1	1942
7	baseline	Random read 1000000 items	2	1962
7	baseline	Random range read 500000 x 10 elements	1	1804
7	baseline	Random range read 500000 x 10 elements	2	1815
7	baseline	Random read (4 threads) 5151000 items	1	2187
7	baseline	Random read (8 threads) 5151000 items	1	1210
7	baseline	Random read (16 threads) 5151000 items	1	1197
7	baseline	Random read (32 threads) 5151000 items	1	1188
7	baseline	Removed 2575500 items	1	10140
7	baseline	Compacted	1	3885
7	optimized	Bulk loaded 5000000 items	1	14754
7	optimized	Wrote 1000 individual items	1	44
7	optimized	Wrote 100 batches of 1000 items	1	1525
7	optimized	Wrote 50000 individual items	1	3426
7	optimized	len()	1	0
7	optimized	Random read 1000000 items	1	1754
7	optimized	Random read 1000000 items	2	1659
7	optimized	Random range read 500000 x 10 elements	1	1688
7	optimized	Random range read 500000 x 10 elements	2	1673
7	optimized	Random read (4 threads) 5151000 items	1	2026
7	optimized	Random read (8 threads) 5151000 items	1	1171
7	optimized	Random read (16 threads) 5151000 items	1	1198
7	optimized	Random read (32 threads) 5151000 items	1	1154
7	optimized	Removed 2575500 items	1	10375
7	optimized	Compacted	1	3888
