round	variant	phase	occurrence	elapsed_ms
1	baseline	Bulk loaded 5000000 items	1	14594
1	baseline	Wrote 1000 individual items	1	47
1	baseline	Wrote 100 batches of 1000 items	1	1603
1	baseline	Wrote 50000 individual items	1	3568
1	baseline	len()	1	0
1	baseline	Random read 1000000 items	1	1707
1	baseline	Random read 1000000 items	2	1670
1	baseline	Random range read 500000 x 10 elements	1	1695
1	baseline	Random range read 500000 x 10 elements	2	1729
1	baseline	Random read (4 threads) 5151000 items	1	2155
1	baseline	Random read (8 threads) 5151000 items	1	1488
1	baseline	Random read (16 threads) 5151000 items	1	1586
1	baseline	Random read (32 threads) 5151000 items	1	1221
1	baseline	Removed 2575500 items	1	10226
1	baseline	Compacted	1	3862
1	optimized	Bulk loaded 5000000 items	1	14352
1	optimized	Wrote 1000 individual items	1	46
1	optimized	Wrote 100 batches of 1000 items	1	1587
1	optimized	Wrote 50000 individual items	1	3617
1	optimized	len()	1	0
1	optimized	Random read 1000000 items	1	1721
1	optimized	Random read 1000000 items	2	1695
1	optimized	Random range read 500000 x 10 elements	1	1898
1	optimized	Random range read 500000 x 10 elements	2	1775
1	optimized	Random read (4 threads) 5151000 items	1	2204
1	optimized	Random read (8 threads) 5151000 items	1	1280
1	optimized	Random read (16 threads) 5151000 items	1	1261
1	optimized	Random read (32 threads) 5151000 items	1	1280
1	optimized	Removed 2575500 items	1	10524
1	optimized	Compacted	1	4027
2	optimized	Bulk loaded 5000000 items	1	14713
2	optimized	Wrote 1000 individual items	1	48
2	optimized	Wrote 100 batches of 1000 items	1	1608
2	optimized	Wrote 50000 individual items	1	3625
2	optimized	len()	1	0
2	optimized	Random read 1000000 items	1	1632
2	optimized	Random read 1000000 items	2	1637
2	optimized	Random range read 500000 x 10 elements	1	1651
2	optimized	Random range read 500000 x 10 elements	2	1686
2	optimized	Random read (4 threads) 5151000 items	1	2100
2	optimized	Random read (8 threads) 5151000 items	1	1188
2	optimized	Random read (16 threads) 5151000 items	1	1222
2	optimized	Random read (32 threads) 5151000 items	1	1172
2	optimized	Removed 2575500 items	1	10025
2	optimized	Compacted	1	3818
2	baseline	Bulk loaded 5000000 items	1	15047
2	baseline	Wrote 1000 individual items	1	47
