round	variant	phase	occurrence	elapsed_ms
1	baseline	Bulk loaded 5000000 items	1	13831
1	baseline	Wrote 1000 individual items	1	44
1	baseline	Wrote 100 batches of 1000 items	1	1502
1	baseline	Wrote 50000 individual items	1	3432
1	baseline	len()	1	0
1	baseline	Random read 1000000 items	1	1624
1	baseline	Random read 1000000 items	2	1577
1	baseline	Random range read 500000 x 10 elements	1	1653
1	baseline	Random range read 500000 x 10 elements	2	1659
1	baseline	Random read (4 threads) 5151000 items	1	2058
1	baseline	Random read (8 threads) 5151000 items	1	1177
1	baseline	Random read (16 threads) 5151000 items	1	1186
1	baseline	Random read (32 threads) 5151000 items	1	1160
1	baseline	Removed 2575500 items	1	9765
1	baseline	Compacted	1	3683
1	optimized	Bulk loaded 5000000 items	1	13814
1	optimized	Wrote 1000 individual items	1	45
1	optimized	Wrote 100 batches of 1000 items	1	1530
1	optimized	Wrote 50000 individual items	1	3439
1	optimized	len()	1	0
1	optimized	Random read 1000000 items	1	1536
1	optimized	Random read 1000000 items	2	1542
1	optimized	Random range read 500000 x 10 elements	1	1594
1	optimized	Random range read 500000 x 10 elements	2	1574
1	optimized	Random read (4 threads) 5151000 items	1	2052
1	optimized	Random read (8 threads) 5151000 items	1	1165
1	optimized	Random read (16 threads) 5151000 items	1	1167
1	optimized	Random read (32 threads) 5151000 items	1	1151
1	optimized	Removed 2575500 items	1	9813
1	optimized	Compacted	1	3709
2	optimized	Bulk loaded 5000000 items	1	13795
2	optimized	Wrote 1000 individual items	1	46
2	optimized	Wrote 100 batches of 1000 items	1	1517
2	optimized	Wrote 50000 individual items	1	3461
2	optimized	len()	1	0
2	optimized	Random read 1000000 items	1	1547
2	optimized	Random read 1000000 items	2	1702
2	optimized	Random range read 500000 x 10 elements	1	1631
2	optimized	Random range read 500000 x 10 elements	2	1606
2	optimized	Random read (4 threads) 5151000 items	1	2035
2	optimized	Random read (8 threads) 5151000 items	1	1149
2	optimized	Random read (16 threads) 5151000 items	1	1153
2	optimized	Random read (32 threads) 5151000 items	1	1151
2	optimized	Removed 2575500 items	1	9817
2	optimized	Compacted	1	3696
2	baseline	Bulk loaded 5000000 items	1	13940
2	baseline	Wrote 1000 individual items	1	45
2	baseline	Wrote 100 batches of 1000 items	1	1514
2	baseline	Wrote 50000 individual items	1	3426
2	baseline	len()	1	0
2	baseline	Random read 1000000 items	1	1590
2	baseline	Random read 1000000 items	2	1569
2	baseline	Random range read 500000 x 10 elements	1	1597
2	baseline	Random range read 500000 x 10 elements	2	1606
2	baseline	Random read (4 threads) 5151000 items	1	2064
2	baseline	Random read (8 threads) 5151000 items	1	1429
2	baseline	Random read (16 threads) 5151000 items	1	1225
2	baseline	Random read (32 threads) 5151000 items	1	1218
2	baseline	Removed 2575500 items	1	9825
2	baseline	Compacted	1	3728
3	baseline	Bulk loaded 5000000 items	1	14111
3	baseline	Wrote 1000 individual items	1	45
3	baseline	Wrote 100 batches of 1000 items	1	1559
3	baseline	Wrote 50000 individual items	1	3526
3	baseline	len()	1	0
3	baseline	Random read 1000000 items	1	1611
3	baseline	Random read 1000000 items	2	1572
3	baseline	Random range read 500000 x 10 elements	1	1623
3	baseline	Random range read 500000 x 10 elements	2	1612
3	baseline	Random read (4 threads) 5151000 items	1	2079
3	baseline	Random read (8 threads) 5151000 items	1	1200
3	baseline	Random read (16 threads) 5151000 items	1	1158
3	baseline	Random read (32 threads) 5151000 items	1	1173
3	baseline	Removed 2575500 items	1	10145
3	baseline	Compacted	1	3715
3	optimized	Bulk loaded 5000000 items	1	13749
3	optimized	Wrote 1000 individual items	1	45
3	optimized	Wrote 100 batches of 1000 items	1	1525
3	optimized	Wrote 50000 individual items	1	3424
3	optimized	len()	1	0
3	optimized	Random read 1000000 items	1	1549
3	optimized	Random read 1000000 items	2	1533
3	optimized	Random range read 500000 x 10 elements	1	1580
3	optimized	Random range read 500000 x 10 elements	2	1610
3	optimized	Random read (4 threads) 5151000 items	1	2078
3	optimized	Random read (8 threads) 5151000 items	1	1138
3	optimized	Random read (16 threads) 5151000 items	1	1165
3	optimized	Random read (32 threads) 5151000 items	1	1162
3	optimized	Removed 2575500 items	1	9797
3	optimized	Compacted	1	3771
4	optimized	Bulk loaded 5000000 items	1	13756
4	optimized	Wrote 1000 individual items	1	44
4	optimized	Wrote 100 batches of 1000 items	1	1532
4	optimized	Wrote 50000 individual items	1	3425
4	optimized	len()	1	0
4	optimized	Random read 1000000 items	1	1543
4	optimized	Random read 1000000 items	2	1584
4	optimized	Random range read 500000 x 10 elements	1	1621
4	optimized	Random range read 500000 x 10 elements	2	1628
4	optimized	Random read (4 threads) 5151000 items	1	2013
4	optimized	Random read (8 threads) 5151000 items	1	1142
4	optimized	Random read (16 threads) 5151000 items	1	1153
4	optimized	Random read (32 threads) 5151000 items	1	1139
4	optimized	Removed 2575500 items	1	9668
4	optimized	Compacted	1	3734
4	baseline	Bulk loaded 5000000 items	1	14184
4	baseline	Wrote 1000 individual items	1	45
4	baseline	Wrote 100 batches of 1000 items	1	1518
4	baseline	Wrote 50000 individual items	1	3447
4	baseline	len()	1	0
4	baseline	Random read 1000000 items	1	1596
4	baseline	Random read 1000000 items	2	1542
4	baseline	Random range read 500000 x 10 elements	1	1583
4	baseline	Random range read 500000 x 10 elements	2	1573
4	baseline	Random read (4 threads) 5151000 items	1	2050
4	baseline	Random read (8 threads) 5151000 items	1	1301
4	baseline	Random read (16 threads) 5151000 items	1	1221
4	baseline	Random read (32 threads) 5151000 items	1	1174
4	baseline	Removed 2575500 items	1	9744
4	baseline	Compacted	1	3677
5	baseline	Bulk loaded 5000000 items	1	14033
5	baseline	Wrote 1000 individual items	1	46
5	baseline	Wrote 100 batches of 1000 items	1	1547
5	baseline	Wrote 50000 individual items	1	3428
5	baseline	len()	1	0
5	baseline	Random read 1000000 items	1	1735
5	baseline	Random read 1000000 items	2	1575
5	baseline	Random range read 500000 x 10 elements	1	1613
5	baseline	Random range read 500000 x 10 elements	2	1616
5	baseline	Random read (4 threads) 5151000 items	1	2063
5	baseline	Random read (8 threads) 5151000 items	1	1163
5	baseline	Random read (16 threads) 5151000 items	1	1221
5	baseline	Random read (32 threads) 5151000 items	1	1186
5	baseline	Removed 2575500 items	1	9872
5	baseline	Compacted	1	3709
5	optimized	Bulk loaded 5000000 items	1	13692
5	optimized	Wrote 1000 individual items	1	45
5	optimized	Wrote 100 batches of 1000 items	1	1498
5	optimized	Wrote 50000 individual items	1	3396
5	optimized	len()	1	0
5	optimized	Random read 1000000 items	1	1554
5	optimized	Random read 1000000 items	2	1542
5	optimized	Random range read 500000 x 10 elements	1	1610
5	optimized	Random range read 500000 x 10 elements	2	1696
5	optimized	Random read (4 threads) 5151000 items	1	2035
5	optimized	Random read (8 threads) 5151000 items	1	1176
5	optimized	Random read (16 threads) 5151000 items	1	1389
