round	variant	phase	occurrence	elapsed_ms
1	baseline	Bulk loaded 5000000 items	1	13968
1	baseline	Wrote 1000 individual items	1	45
1	baseline	Wrote 100 batches of 1000 items	1	1520
1	baseline	Wrote 50000 individual items	1	3432
1	baseline	len()	1	0
1	baseline	Random read 1000000 items	1	1667
1	baseline	Random read 1000000 items	2	1557
1	baseline	Random range read 500000 x 10 elements	1	1616
1	baseline	Random range read 500000 x 10 elements	2	1643
1	baseline	Random read (4 threads) 5151000 items	1	2293
1	baseline	Random read (8 threads) 5151000 items	1	1363
1	baseline	Random read (16 threads) 5151000 items	1	1231
1	baseline	Random read (32 threads) 5151000 items	1	1176
1	baseline	Removed 2575500 items	1	9843
1	baseline	Compacted	1	3739
1	optimized	Bulk loaded 5000000 items	1	14247
1	optimized	Wrote 1000 individual items	1	46
1	optimized	Wrote 100 batches of 1000 items	1	1557
1	optimized	Wrote 50000 individual items	1	3435
1	optimized	len()	1	0
1	optimized	Random read 1000000 items	1	1663
1	optimized	Random read 1000000 items	2	1650
1	optimized	Random range read 500000 x 10 elements	1	1693
1	optimized	Random range read 500000 x 10 elements	2	1661
1	optimized	Random read (4 threads) 5151000 items	1	2063
1	optimized	Random read (8 threads) 5151000 items	1	1163
1	optimized	Random read (16 threads) 5151000 items	1	1195
1	optimized	Random read (32 threads) 5151000 items	1	1268
1	optimized	Removed 2575500 items	1	9860
1	optimized	Compacted	1	3737
2	optimized	Bulk loaded 5000000 items	1	13851
2	optimized	Wrote 1000 individual items	1	45
2	optimized	Wrote 100 batches of 1000 items	1	1523
2	optimized	Wrote 50000 individual items	1	3424
2	optimized	len()	1	0
2	optimized	Random read 1000000 items	1	1631
2	optimized	Random read 1000000 items	2	1550
2	optimized	Random range read 500000 x 10 elements	1	1636
2	optimized	Random range read 500000 x 10 elements	2	1715
2	optimized	Random read (4 threads) 5151000 items	1	2070
2	optimized	Random read (8 threads) 5151000 items	1	1177
2	optimized	Random read (16 threads) 5151000 items	1	1208
2	optimized	Random read (32 threads) 5151000 items	1	1183
2	optimized	Removed 2575500 items	1	9786
2	optimized	Compacted	1	3737
2	baseline	Bulk loaded 5000000 items	1	14342
2	baseline	Wrote 1000 individual items	1	47
2	baseline	Wrote 100 batches of 1000 items	1	1558
2	baseline	Wrote 50000 individual items	1	3559
2	baseline	len()	1	0
2	baseline	Random read 1000000 items	1	1641
2	baseline	Random read 1000000 items	2	1539
2	baseline	Random range read 500000 x 10 elements	1	1646
2	baseline	Random range read 500000 x 10 elements	2	1661
2	baseline	Random read (4 threads) 5151000 items	1	2084
2	baseline	Random read (8 threads) 5151000 items	1	1202
2	baseline	Random read (16 threads) 5151000 items	1	1257
2	baseline	Random read (32 threads) 5151000 items	1	1239
2	baseline	Removed 2575500 items	1	10024
2	baseline	Compacted	1	3767
3	baseline	Bulk loaded 5000000 items	1	14145
3	baseline	Wrote 1000 individual items	1	46
3	baseline	Wrote 100 batches of 1000 items	1	1555
3	baseline	Wrote 50000 individual items	1	3445
3	baseline	len()	1	0
3	baseline	Random read 1000000 items	1	1786
3	baseline	Random read 1000000 items	2	1542
3	baseline	Random range read 500000 x 10 elements	1	1621
3	baseline	Random range read 500000 x 10 elements	2	1598
3	baseline	Random read (4 threads) 5151000 items	1	2077
3	baseline	Random read (8 threads) 5151000 items	1	1186
3	baseline	Random read (16 threads) 5151000 items	1	1187
3	baseline	Random read (32 threads) 5151000 items	1	1212
3	baseline	Removed 2575500 items	1	9868
3	baseline	Compacted	1	3714
3	optimized	Bulk loaded 5000000 items	1	14228
3	optimized	Wrote 1000 individual items	1	45
3	optimized	Wrote 100 batches of 1000 items	1	1673
3	optimized	Wrote 50000 individual items	1	3507
3	optimized	len()	1	0
3	optimized	Random read 1000000 items	1	1621
3	optimized	Random read 1000000 items	2	1570
3	optimized	Random range read 500000 x 10 elements	1	1661
3	optimized	Random range read 500000 x 10 elements	2	1607
3	optimized	Random read (4 threads) 5151000 items	1	2109
3	optimized	Random read (8 threads) 5151000 items	1	1199
3	optimized	Random read (16 threads) 5151000 items	1	1283
3	optimized	Random read (32 threads) 5151000 items	1	1191
3	optimized	Removed 2575500 items	1	9904
3	optimized	Compacted	1	3733
4	optimized	Bulk loaded 5000000 items	1	14322
4	optimized	Wrote 1000 individual items	1	49
