round	variant	phase	occurrence	elapsed_ms
1	baseline	Bulk loaded 5000000 items	1	13940
1	baseline	Wrote 1000 individual items	1	44
1	baseline	Wrote 100 batches of 1000 items	1	1511
1	baseline	Wrote 50000 individual items	1	3383
1	baseline	len()	1	0
1	baseline	Random read 1000000 items	1	1601
1	baseline	Random read 1000000 items	2	1785
1	baseline	Random range read 500000 x 10 elements	1	1702
1	baseline	Random range read 500000 x 10 elements	2	1599
1	baseline	Random read (4 threads) 5151000 items	1	2065
1	baseline	Random read (8 threads) 5151000 items	1	1191
1	baseline	Random read (16 threads) 5151000 items	1	1184
1	baseline	Random read (32 threads) 5151000 items	1	1161
1	baseline	Removed 2575500 items	1	10115
1	baseline	Compacted	1	3726
1	optimized	Bulk loaded 5000000 items	1	14048
1	optimized	Wrote 1000 individual items	1	46
1	optimized	Wrote 100 batches of 1000 items	1	1536
1	optimized	Wrote 50000 individual items	1	3464
1	optimized	len()	1	0
1	optimized	Random read 1000000 items	1	1660
1	optimized	Random read 1000000 items	2	1628
1	optimized	Random range read 500000 x 10 elements	1	1707
1	optimized	Random range read 500000 x 10 elements	2	1668
1	optimized	Random read (4 threads) 5151000 items	1	2075
1	optimized	Random read (8 threads) 5151000 items	1	1180
1	optimized	Random read (16 threads) 5151000 items	1	1272
1	optimized	Random read (32 threads) 5151000 items	1	1175
1	optimized	Removed 2575500 items	1	9689
1	optimized	Compacted	1	3672
2	optimized	Bulk loaded 5000000 items	1	14140
2	optimized	Wrote 1000 individual items	1	45
2	optimized	Wrote 100 batches of 1000 items	1	1548
2	optimized	Wrote 50000 individual items	1	3444
2	optimized	len()	1	0
2	optimized	Random read 1000000 items	1	1655
2	optimized	Random read 1000000 items	2	1625
2	optimized	Random range read 500000 x 10 elements	1	1653
2	optimized	Random range read 500000 x 10 elements	2	1641
2	optimized	Random read (4 threads) 5151000 items	1	2120
2	optimized	Random read (8 threads) 5151000 items	1	1221
2	optimized	Random read (16 threads) 5151000 items	1	1265
2	optimized	Random read (32 threads) 5151000 items	1	1379
2	optimized	Removed 2575500 items	1	10154
2	optimized	Compacted	1	3882
2	baseline	Bulk loaded 5000000 items	1	14127
2	baseline	Wrote 1000 individual items	1	47
2	baseline	Wrote 100 batches of 1000 items	1	1567
2	baseline	Wrote 50000 individual items	1	3609
2	baseline	len()	1	0
2	baseline	Random read 1000000 items	1	1583
2	baseline	Random read 1000000 items	2	1587
2	baseline	Random range read 500000 x 10 elements	1	1661
2	baseline	Random range read 500000 x 10 elements	2	1640
2	baseline	Random read (4 threads) 5151000 items	1	2070
2	baseline	Random read (8 threads) 5151000 items	1	1183
2	baseline	Random read (16 threads) 5151000 items	1	1184
2	baseline	Random read (32 threads) 5151000 items	1	1174
2	baseline	Removed 2575500 items	1	9715
2	baseline	Compacted	1	3769
3	baseline	Bulk loaded 5000000 items	1	13871
3	baseline	Wrote 1000 individual items	1	44
3	baseline	Wrote 100 batches of 1000 items	1	1509
3	baseline	Wrote 50000 individual items	1	3392
3	baseline	len()	1	0
3	baseline	Random read 1000000 items	1	1633
3	baseline	Random read 1000000 items	2	1530
3	baseline	Random range read 500000 x 10 elements	1	1590
3	baseline	Random range read 500000 x 10 elements	2	1605
3	baseline	Random read (4 threads) 5151000 items	1	2061
3	baseline	Random read (8 threads) 5151000 items	1	1187
3	baseline	Random read (16 threads) 5151000 items	1	1322
3	baseline	Random read (32 threads) 5151000 items	1	1176
3	baseline	Removed 2575500 items	1	9716
3	baseline	Compacted	1	3652
3	optimized	Bulk loaded 5000000 items	1	14290
3	optimized	Wrote 1000 individual items	1	45
3	optimized	Wrote 100 batches of 1000 items	1	1550
3	optimized	Wrote 50000 individual items	1	3454
3	optimized	len()	1	0
3	optimized	Random read 1000000 items	1	1624
3	optimized	Random read 1000000 items	2	1629
3	optimized	Random range read 500000 x 10 elements	1	1652
3	optimized	Random range read 500000 x 10 elements	2	1656
3	optimized	Random read (4 threads) 5151000 items	1	2110
3	optimized	Random read (8 threads) 5151000 items	1	1155
3	optimized	Random read (16 threads) 5151000 items	1	1199
3	optimized	Random read (32 threads) 5151000 items	1	1179
3	optimized	Removed 2575500 items	1	9833
3	optimized	Compacted	1	3738
4	optimized	Bulk loaded 5000000 items	1	13968
4	optimized	Wrote 1000 individual items	1	45
4	optimized	Wrote 100 batches of 1000 items	1	1570
4	optimized	Wrote 50000 individual items	1	3446
4	optimized	len()	1	0
4	optimized	Random read 1000000 items	1	1619
4	optimized	Random read 1000000 items	2	1701
4	optimized	Random range read 500000 x 10 elements	1	1635
4	optimized	Random range read 500000 x 10 elements	2	1663
4	optimized	Random read (4 threads) 5151000 items	1	2074
4	optimized	Random read (8 threads) 5151000 items	1	1192
4	optimized	Random read (16 threads) 5151000 items	1	1337
4	optimized	Random read (32 threads) 5151000 items	1	1176
4	optimized	Removed 2575500 items	1	9732
4	optimized	Compacted	1	3695
4	baseline	Bulk loaded 5000000 items	1	13834
4	baseline	Wrote 1000 individual items	1	44
4	baseline	Wrote 100 batches of 1000 items	1	1517
4	baseline	Wrote 50000 individual items	1	3429
4	baseline	len()	1	0
4	baseline	Random read 1000000 items	1	1582
4	baseline	Random read 1000000 items	2	1611
4	baseline	Random range read 500000 x 10 elements	1	1610
4	baseline	Random range read 500000 x 10 elements	2	1625
4	baseline	Random read (4 threads) 5151000 items	1	2045
4	baseline	Random read (8 threads) 5151000 items	1	1150
4	baseline	Random read (16 threads) 5151000 items	1	1354
4	baseline	Random read (32 threads) 5151000 items	1	1167
4	baseline	Removed 2575500 items	1	9705
