round	variant	phase	occurrence	elapsed_ms
1	baseline	Bulk loaded 5000000 items	1	14803
1	baseline	Wrote 1000 individual items	1	47
1	baseline	Wrote 100 batches of 1000 items	1	1690
1	baseline	Wrote 50000 individual items	1	3670
1	baseline	len()	1	0
1	baseline	Random read 1000000 items	1	1801
1	baseline	Random read 1000000 items	2	1771
1	baseline	Random range read 500000 x 10 elements	1	1822
1	baseline	Random range read 500000 x 10 elements	2	1817
1	baseline	Random read (4 threads) 5151000 items	1	2266
1	baseline	Random read (8 threads) 5151000 items	1	1247
1	baseline	Random read (16 threads) 5151000 items	1	1251
1	baseline	Random read (32 threads) 5151000 items	1	1259
1	baseline	Removed 2575500 items	1	10659
1	baseline	Compacted	1	4054
1	optimized	Bulk loaded 5000000 items	1	15242
1	optimized	Wrote 1000 individual items	1	47
1	optimized	Wrote 100 batches of 1000 items	1	1611
1	optimized	Wrote 50000 individual items	1	3567
1	optimized	len()	1	0
1	optimized	Random read 1000000 items	1	1782
1	optimized	Random read 1000000 items	2	1926
1	optimized	Random range read 500000 x 10 elements	1	1788
1	optimized	Random range read 500000 x 10 elements	2	1768
1	optimized	Random read (4 threads) 5151000 items	1	2258
1	optimized	Random read (8 threads) 5151000 items	1	1258
1	optimized	Random read (16 threads) 5151000 items	1	1283
1	optimized	Random read (32 threads) 5151000 items	1	1288
1	optimized	Removed 2575500 items	1	10855
1	optimized	Compacted	1	4056
2	optimized	Bulk loaded 5000000 items	1	14781
2	optimized	Wrote 1000 individual items	1	48
2	optimized	Wrote 100 batches of 1000 items	1	1637
2	optimized	Wrote 50000 individual items	1	3687
2	optimized	len()	1	0
2	optimized	Random read 1000000 items	1	1801
2	optimized	Random read 1000000 items	2	1670
2	optimized	Random range read 500000 x 10 elements	1	1772
2	optimized	Random range read 500000 x 10 elements	2	1778
2	optimized	Random read (4 threads) 5151000 items	1	2253
2	optimized	Random read (8 threads) 5151000 items	1	1286
2	optimized	Random read (16 threads) 5151000 items	1	1291
2	optimized	Random read (32 threads) 5151000 items	1	1238
2	optimized	Removed 2575500 items	1	10467
2	optimized	Compacted	1	3905
2	baseline	Bulk loaded 5000000 items	1	15121
2	baseline	Wrote 1000 individual items	1	47
2	baseline	Wrote 100 batches of 1000 items	1	1637
2	baseline	Wrote 50000 individual items	1	3630
2	baseline	len()	1	0
2	baseline	Random read 1000000 items	1	1953
2	baseline	Random read 1000000 items	2	1870
