round	variant	phase	occurrence	elapsed_ms
1	baseline	Bulk loaded 5000000 items	1	13876
1	baseline	Wrote 1000 individual items	1	44
1	baseline	Wrote 100 batches of 1000 items	1	1501
1	baseline	Wrote 50000 individual items	1	3415
1	baseline	len()	1	0
1	baseline	Random read 1000000 items	1	1649
1	baseline	Random read 1000000 items	2	1558
1	baseline	Random range read 500000 x 10 elements	1	1644
1	baseline	Random range read 500000 x 10 elements	2	1602
1	baseline	Random read (4 threads) 5151000 items	1	2098
1	baseline	Random read (8 threads) 5151000 items	1	1451
1	baseline	Random read (16 threads) 5151000 items	1	1228
1	baseline	Random read (32 threads) 5151000 items	1	1197
1	baseline	Removed 2575500 items	1	9893
1	baseline	Compacted	1	3923
1	optimized	Bulk loaded 5000000 items	1	14261
1	optimized	Wrote 1000 individual items	1	45
1	optimized	Wrote 100 batches of 1000 items	1	1558
1	optimized	Wrote 50000 individual items	1	3520
1	optimized	len()	1	0
1	optimized	Random read 1000000 items	1	1652
1	optimized	Random read 1000000 items	2	1568
1	optimized	Random range read 500000 x 10 elements	1	1663
1	optimized	Random range read 500000 x 10 elements	2	1603
1	optimized	Random read (4 threads) 5151000 items	1	2087
1	optimized	Random read (8 threads) 5151000 items	1	1180
1	optimized	Random read (16 threads) 5151000 items	1	1220
1	optimized	Random read (32 threads) 5151000 items	1	1183
1	optimized	Removed 2575500 items	1	9989
1	optimized	Compacted	1	3810
2	optimized	Bulk loaded 5000000 items	1	14187
2	optimized	Wrote 1000 individual items	1	46
2	optimized	Wrote 100 batches of 1000 items	1	1569
2	optimized	Wrote 50000 individual items	1	3528
2	optimized	len()	1	0
2	optimized	Random read 1000000 items	1	1675
2	optimized	Random read 1000000 items	2	1672
2	optimized	Random range read 500000 x 10 elements	1	1867
2	optimized	Random range read 500000 x 10 elements	2	1788
2	optimized	Random read (4 threads) 5151000 items	1	2169
2	optimized	Random read (8 threads) 5151000 items	1	1220
2	optimized	Random read (16 threads) 5151000 items	1	1256
2	optimized	Random read (32 threads) 5151000 items	1	1212
2	optimized	Removed 2575500 items	1	10308
2	optimized	Compacted	1	3882
2	baseline	Bulk loaded 5000000 items	1	14825
2	baseline	Wrote 1000 individual items	1	46
2	baseline	Wrote 100 batches of 1000 items	1	1573
