round	variant	phase	occurrence	elapsed_ms
1	baseline	Bulk loaded 5000000 items	1	14838
1	baseline	Wrote 1000 individual items	1	45
1	baseline	Wrote 100 batches of 1000 items	1	1678
1	baseline	Wrote 50000 individual items	1	3469
1	baseline	len()	1	0
1	baseline	Random read 1000000 items	1	1785
1	baseline	Random read 1000000 items	2	1743
1	baseline	Random range read 500000 x 10 elements	1	1739
1	baseline	Random range read 500000 x 10 elements	2	1700
1	baseline	Random read (4 threads) 5151000 items	1	2159
1	baseline	Random read (8 threads) 5151000 items	1	1215
1	baseline	Random read (16 threads) 5151000 items	1	1238
1	baseline	Random read (32 threads) 5151000 items	1	1267
1	baseline	Removed 2575500 items	1	10595
1	baseline	Compacted	1	3722
1	optimized	Bulk loaded 5000000 items	1	14057
1	optimized	Wrote 1000 individual items	1	44
1	optimized	Wrote 100 batches of 1000 items	1	1492
1	optimized	Wrote 50000 individual items	1	3428
1	optimized	len()	1	0
1	optimized	Random read 1000000 items	1	1565
1	optimized	Random read 1000000 items	2	1526
1	optimized	Random range read 500000 x 10 elements	1	1617
1	optimized	Random range read 500000 x 10 elements	2	1573
1	optimized	Random read (4 threads) 5151000 items	1	2073
1	optimized	Random read (8 threads) 5151000 items	1	1170
1	optimized	Random read (16 threads) 5151000 items	1	1239
1	optimized	Random read (32 threads) 5151000 items	1	1221
1	optimized	Removed 2575500 items	1	10031
1	optimized	Compacted	1	3770
2	optimized	Bulk loaded 5000000 items	1	14006
2	optimized	Wrote 1000 individual items	1	45
2	optimized	Wrote 100 batches of 1000 items	1	1518
2	optimized	Wrote 50000 individual items	1	3427
2	optimized	len()	1	0
2	optimized	Random read 1000000 items	1	1559
2	optimized	Random read 1000000 items	2	1554
2	optimized	Random range read 500000 x 10 elements	1	1587
2	optimized	Random range read 500000 x 10 elements	2	1707
2	optimized	Random read (4 threads) 5151000 items	1	2146
2	optimized	Random read (8 threads) 5151000 items	1	1447
2	optimized	Random read (16 threads) 5151000 items	1	1429
2	optimized	Random read (32 threads) 5151000 items	1	1164
2	optimized	Removed 2575500 items	1	9758
2	optimized	Compacted	1	3693
2	baseline	Bulk loaded 5000000 items	1	14056
2	baseline	Wrote 1000 individual items	1	45
2	baseline	Wrote 100 batches of 1000 items	1	1528
2	baseline	Wrote 50000 individual items	1	3447
2	baseline	len()	1	0
2	baseline	Random read 1000000 items	1	1588
2	baseline	Random read 1000000 items	2	1609
2	baseline	Random range read 500000 x 10 elements	1	1599
2	baseline	Random range read 500000 x 10 elements	2	1613
2	baseline	Random read (4 threads) 5151000 items	1	2115
2	baseline	Random read (8 threads) 5151000 items	1	1195
2	baseline	Random read (16 threads) 5151000 items	1	1188
2	baseline	Random read (32 threads) 5151000 items	1	1182
2	baseline	Removed 2575500 items	1	9907
2	baseline	Compacted	1	3674
3	baseline	Bulk loaded 5000000 items	1	14022
3	baseline	Wrote 1000 individual items	1	45
3	baseline	Wrote 100 batches of 1000 items	1	1518
3	baseline	Wrote 50000 individual items	1	3453
3	baseline	len()	1	0
3	baseline	Random read 1000000 items	1	1744
3	baseline	Random read 1000000 items	2	1709
3	baseline	Random range read 500000 x 10 elements	1	1648
3	baseline	Random range read 500000 x 10 elements	2	1638
3	baseline	Random read (4 threads) 5151000 items	1	2068
3	baseline	Random read (8 threads) 5151000 items	1	1195
3	baseline	Random read (16 threads) 5151000 items	1	1216
3	baseline	Random read (32 threads) 5151000 items	1	1174
3	baseline	Removed 2575500 items	1	9836
3	baseline	Compacted	1	3718
3	optimized	Bulk loaded 5000000 items	1	15021
3	optimized	Wrote 1000 individual items	1	46
3	optimized	Wrote 100 batches of 1000 items	1	1515
3	optimized	Wrote 50000 individual items	1	3446
3	optimized	len()	1	0
3	optimized	Random read 1000000 items	1	1588
3	optimized	Random read 1000000 items	2	1602
3	optimized	Random range read 500000 x 10 elements	1	1624
3	optimized	Random range read 500000 x 10 elements	2	1624
3	optimized	Random read (4 threads) 5151000 items	1	2110
3	optimized	Random read (8 threads) 5151000 items	1	1216
3	optimized	Random read (16 threads) 5151000 items	1	1457
3	optimized	Random read (32 threads) 5151000 items	1	1186
3	optimized	Removed 2575500 items	1	9872
3	optimized	Compacted	1	3722
4	optimized	Bulk loaded 5000000 items	1	14073
4	optimized	Wrote 1000 individual items	1	49
4	optimized	Wrote 100 batches of 1000 items	1	1551
4	optimized	Wrote 50000 individual items	1	3390
4	optimized	len()	1	0
4	optimized	Random read 1000000 items	1	1569
4	optimized	Random read 1000000 items	2	1591
4	optimized	Random range read 500000 x 10 elements	1	1650
4	optimized	Random range read 500000 x 10 elements	2	1595
4	optimized	Random read (4 threads) 5151000 items	1	2102
4	optimized	Random read (8 threads) 5151000 items	1	1183
4	optimized	Random read (16 threads) 5151000 items	1	1186
4	optimized	Random read (32 threads) 5151000 items	1	1245
4	optimized	Removed 2575500 items	1	9707
4	optimized	Compacted	1	3653
4	baseline	Bulk loaded 5000000 items	1	13914
4	baseline	Wrote 1000 individual items	1	45
4	baseline	Wrote 100 batches of 1000 items	1	1505
4	baseline	Wrote 50000 individual items	1	3408
4	baseline	len()	1	0
4	baseline	Random read 1000000 items	1	1576
4	baseline	Random read 1000000 items	2	1607
4	baseline	Random range read 500000 x 10 elements	1	1646
4	baseline	Random range read 500000 x 10 elements	2	1759
4	baseline	Random read (4 threads) 5151000 items	1	2106
4	baseline	Random read (8 threads) 5151000 items	1	1318
4	baseline	Random read (16 threads) 5151000 items	1	1227
4	baseline	Random read (32 threads) 5151000 items	1	1194
4	baseline	Removed 2575500 items	1	9756
4	baseline	Compacted	1	3718
5	baseline	Bulk loaded 5000000 items	1	14431
5	baseline	Wrote 1000 individual items	1	45
5	baseline	Wrote 100 batches of 1000 items	1	1545
5	baseline	Wrote 50000 individual items	1	3449
5	baseline	len()	1	0
5	baseline	Random read 1000000 items	1	1594
5	baseline	Random read 1000000 items	2	1574
5	baseline	Random range read 500000 x 10 elements	1	1623
5	baseline	Random range read 500000 x 10 elements	2	1660
5	baseline	Random read (4 threads) 5151000 items	1	2078
5	baseline	Random read (8 threads) 5151000 items	1	1176
5	baseline	Random read (16 threads) 5151000 items	1	1185
