benchmark	rounds	raw_samples_per_variant	baseline_mean_ms	optimized_mean_ms	aggregate_speedup_percent	paired_mean_speedup_percent	paired_median_speedup_percent	paired_95ci_low_percent	paired_95ci_high_percent	paired_familywise_95ci_low_percent	paired_familywise_95ci_high_percent
bulk_load	7	7	14139.143	14437.143	-2.064	-1.960	-1.607	-5.827	+1.906	-9.049	+5.128
individual_writes	7	7	44.857	46.571	-3.681	-3.529	-2.222	-7.305	+0.247	-10.451	+3.394
batch_writes	7	7	1550.714	1534.429	+1.061	+1.127	+0.198	-3.715	+5.968	-7.749	+10.003
nosync_writes	7	7	3437.714	3488.429	-1.454	-1.337	+0.203	-4.800	+2.125	-7.684	+5.010
random_reads	7	14	1619.429	1593.714	+1.613	+1.747	+0.728	-5.078	+8.573	-10.765	+14.260
random_range_reads	7	14	1644.571	1632.214	+0.757	+0.800	-0.334	-3.079	+4.679	-6.312	+7.912
random_reads_4_threads	7	7	2089.143	2108.429	-0.915	-0.895	-1.445	-3.217	+1.428	-5.152	+3.363
random_reads_8_threads	7	7	1243.143	1232.857	+0.834	+1.427	+3.846	-7.934	+10.788	-15.733	+18.587
random_reads_16_threads	7	7	1205.571	1289.857	-6.534	-5.979	-4.248	-13.389	+1.430	-19.562	+7.604
random_reads_32_threads	7	7	1191.286	1209.857	-1.535	-1.503	-2.244	-4.435	+1.430	-6.879	+3.874
removals	7	7	9984.857	9899.000	+0.867	+0.861	+0.505	-1.294	+3.015	-3.089	+4.810
compaction	7	7	3719.857	3750.714	-0.823	-0.785	-0.514	-2.903	+1.332	-4.667	+3.096
