round	variant	phase	occurrence	elapsed_ms
1	baseline	Bulk loaded 5000000 items	1	14268
1	baseline	Wrote 1000 individual items	1	46
1	baseline	Wrote 100 batches of 1000 items	1	1559
1	baseline	Wrote 50000 individual items	1	3556
1	baseline	len()	1	0
1	baseline	Random read 1000000 items	1	1738
1	baseline	Random read 1000000 items	2	1577
1	baseline	Random range read 500000 x 10 elements	1	1681
1	baseline	Random range read 500000 x 10 elements	2	1794
1	baseline	Random read (4 threads) 5151000 items	1	2313
1	baseline	Random read (8 threads) 5151000 items	1	2249
1	baseline	Random read (16 threads) 5151000 items	1	2132
1	baseline	Random read (32 threads) 5151000 items	1	2243
1	baseline	Removed 2575500 items	1	10047
1	baseline	Compacted	1	3849
1	optimized	Bulk loaded 5000000 items	1	14231
1	optimized	Wrote 1000 individual items	1	46
1	optimized	Wrote 100 batches of 1000 items	1	1559
1	optimized	Wrote 50000 individual items	1	3522
1	optimized	len()	1	0
1	optimized	Random read 1000000 items	1	1649
1	optimized	Random read 1000000 items	2	1566
1	optimized	Random range read 500000 x 10 elements	1	1655
1	optimized	Random range read 500000 x 10 elements	2	1633
1	optimized	Random read (4 threads) 5151000 items	1	2137
1	optimized	Random read (8 threads) 5151000 items	1	2209
1	optimized	Random read (16 threads) 5151000 items	1	2127
1	optimized	Random read (32 threads) 5151000 items	1	2198
1	optimized	Removed 2575500 items	1	10208
1	optimized	Compacted	1	4403
2	optimized	Bulk loaded 5000000 items	1	14725
2	optimized	Wrote 1000 individual items	1	49
2	optimized	Wrote 100 batches of 1000 items	1	1589
2	optimized	Wrote 50000 individual items	1	3640
2	optimized	len()	1	0
2	optimized	Random read 1000000 items	1	1667
2	optimized	Random read 1000000 items	2	1642
2	optimized	Random range read 500000 x 10 elements	1	1721
2	optimized	Random range read 500000 x 10 elements	2	1788
2	optimized	Random read (4 threads) 5151000 items	1	2350
2	optimized	Random read (8 threads) 5151000 items	1	2287
2	optimized	Random read (16 threads) 5151000 items	1	2216
2	optimized	Random read (32 threads) 5151000 items	1	2215
2	optimized	Removed 2575500 items	1	10384
2	optimized	Compacted	1	4015
2	baseline	Bulk loaded 5000000 items	1	15064
2	baseline	Wrote 1000 individual items	1	48
2	baseline	Wrote 100 batches of 1000 items	1	1624
2	baseline	Wrote 50000 individual items	1	3615
2	baseline	len()	1	0
2	baseline	Random read 1000000 items	1	1692
2	baseline	Random read 1000000 items	2	1674
2	baseline	Random range read 500000 x 10 elements	1	1771
2	baseline	Random range read 500000 x 10 elements	2	1771
2	baseline	Random read (4 threads) 5151000 items	1	2259
2	baseline	Random read (8 threads) 5151000 items	1	2224
2	baseline	Random read (16 threads) 5151000 items	1	2260
2	baseline	Random read (32 threads) 5151000 items	1	2269
2	baseline	Removed 2575500 items	1	10307
2	baseline	Compacted	1	3863
3	baseline	Bulk loaded 5000000 items	1	14378
3	baseline	Wrote 1000 individual items	1	46
3	baseline	Wrote 100 batches of 1000 items	1	1582
3	baseline	Wrote 50000 individual items	1	3567
3	baseline	len()	1	0
3	baseline	Random read 1000000 items	1	1677
3	baseline	Random read 1000000 items	2	1591
3	baseline	Random range read 500000 x 10 elements	1	1716
3	baseline	Random range read 500000 x 10 elements	2	1635
3	baseline	Random read (4 threads) 5151000 items	1	2102
3	baseline	Random read (8 threads) 5151000 items	1	2127
3	baseline	Random read (16 threads) 5151000 items	1	2706
3	baseline	Random read (32 threads) 5151000 items	1	2731
3	baseline	Removed 2575500 items	1	10660
3	baseline	Compacted	1	3883
3	optimized	Bulk loaded 5000000 items	1	14935
3	optimized	Wrote 1000 individual items	1	47
3	optimized	Wrote 100 batches of 1000 items	1	1611
3	optimized	Wrote 50000 individual items	1	3721
3	optimized	len()	1	0
3	optimized	Random read 1000000 items	1	1936
3	optimized	Random read 1000000 items	2	1778
3	optimized	Random range read 500000 x 10 elements	1	1739
3	optimized	Random range read 500000 x 10 elements	2	1751
3	optimized	Random read (4 threads) 5151000 items	1	2358
3	optimized	Random read (8 threads) 5151000 items	1	2243
3	optimized	Random read (16 threads) 5151000 items	1	2234
3	optimized	Random read (32 threads) 5151000 items	1	2359
3	optimized	Removed 2575500 items	1	10496
3	optimized	Compacted	1	3971
4	optimized	Bulk loaded 5000000 items	1	14794
4	optimized	Wrote 1000 individual items	1	47
4	optimized	Wrote 100 batches of 1000 items	1	1600
4	optimized	Wrote 50000 individual items	1	3628
4	optimized	len()	1	0
4	optimized	Random read 1000000 items	1	1633
4	optimized	Random read 1000000 items	2	1631
4	optimized	Random range read 500000 x 10 elements	1	1694
4	optimized	Random range read 500000 x 10 elements	2	1716
4	optimized	Random read (4 threads) 5151000 items	1	2126
4	optimized	Random read (8 threads) 5151000 items	1	2114
4	optimized	Random read (16 threads) 5151000 items	1	2150
4	optimized	Random read (32 threads) 5151000 items	1	2272
